client_id,round_number,hierarchy,num_samples,bytes_written,bytes_read,local_computations
danger_skies,0,,11,160696344,160696344,8050713100
AceMas21,0,,13,160696344,160696344,8855784410
jonas_twilight3,1,,13,160696344,160696344,8855784410
tweetpet,1,,31,160696344,160696344,22541996680
twebbstack,2,,18,160696344,160696344,13686212270
rgoodchild,2,,15,160696344,160696344,11270998340
annasaccone,3,,12,160696344,160696344,8855784410
amysav83,3,,12,160696344,160696344,8855784410
sebby_peek,4,,11,160696344,160696344,8050713100
QueenBxoxo,4,,11,160696344,160696344,8050713100
SarahSaner,5,,15,160696344,160696344,10465927030
pdurham,5,,11,160696344,160696344,8050713100
keren4562,6,,13,160696344,160696344,9660855720
Samm_xo,6,,12,160696344,160696344,8855784410
adlyman,7,,12,160696344,160696344,8855784410
torilovesbradie,7,,19,160696344,160696344,13686212270
pato_30stm,8,,11,160696344,160696344,8050713100
JennaMadison,8,,13,160696344,160696344,8855784410
hypnophil,9,,12,160696344,160696344,8855784410
flamingokitty,9,,11,160696344,160696344,7245641790
